ble_count,CLB_groups_per_xb,lut_size,Tdel,T_ipin_cblock,T_local_CLB_routing,T_local_feedback,T_logic_block_output,mwta_clb,mwta_ipin_mux_trans,mwta_switch_mux_trans,mwta_switch_buf,mwta_cb_buf
2,2,5,7.551e-11,7.189e-11,6.059e-11,9.436e-11,3.149e-11,2628.010484739385,1.2559575028878802,1.5082318657594311,15.737586350821559,9.37363343927815
3,2,5,8.236e-11,6.98e-11,6.395e-11,1.024e-10,3.15e-11,4228.740619330664,1.2559575028878802,1.5082318657594311,19.57108892908998,9.413046827812858
5,2,5,8.909e-11,7.691e-11,7.814e-11,1.133e-10,3.25e-11,7299.242201507986,1.2559575028878802,1.741,23.3062315062054,9.285967425418304
4,2,5,8.484e-11,6.91e-11,8.063e-11,1.209e-10,3.335e-11,5511.145422290513,1.2559575028878802,1.5082318657594311,21.93168835531323,9.211735707878198
6,2,5,9.832e-11,8.276e-11,8.738e-11,1.273e-10,3.345e-11,8955.155997246704,1.2559575028878802,1.741,24.487589909048936,9.437725064975666
7,2,5,1.008e-10,9.126e-11,1.001e-10,1.416e-10,3.452e-11,11093.410063172309,1.2559575028878802,1.961302579202418,25.64001549107855,9.737954624103269
8,2,5,1.078e-10,9.72e-11,9.815e-11,1.501e-10,3.637e-11,12674.60412542047,1.2559575028878802,1.961302579202418,27.31402639945281,9.741102460182084
9,2,5,1.13e-10,9.964e-11,9.652e-11,1.451e-10,3.359e-11,14874.303421586277,1.2559575028878802,1.961302579202418,26.767200224053415,11.101372893163601
10,2,5,1.199e-10,1.061e-10,1.104e-10,1.568e-10,3.557e-11,17421.78566190772,1.2559575028878802,2.1727504894282226,29.534269426286535,11.205692861064005
11,2,5,1.37e-10,1.108e-10,1.186e-10,1.74e-10,3.802e-11,20030.67853884807,1.2559575028878802,1.961302579202418,31.836011727038404,11.205692861064005
12,2,5,1.48e-10,1.166e-10,1.231e-10,1.808e-10,3.843e-11,21731.535379486428,1.2559575028878802,2.1727504894282226,31.878937396507705,10.459571399159342
14,2,5,1.714e-10,1.389e-10,1.266e-10,1.93e-10,4.485e-11,28867.492364294812,1.2559575028878802,2.377488762626255,34.23395246040796,10.175286251211825
13,2,5,1.563e-10,1.308e-10,1.203e-10,1.832e-10,3.7e-11,26927.321203183572,1.2559575028878802,2.377488762626255,32.51543786167078,10.64549581115425
15,2,5,1.808e-10,1.452e-10,1.4e-10,2.082e-10,4.076e-11,32550.42422083243,1.2559575028878802,2.576915005775761,36.471414258350116,10.257855356264992
16,2,5,1.964e-10,1.547e-10,1.604e-10,2.417e-10,3.962e-11,36939.681520399245,1.2559575028878802,2.576915005775761,36.41565768025123,11.76066537749921
19,2,5,2.426e-10,1.76e-10,1.963e-10,2.902e-10,4.326e-11,45724.0078116534,1.2559575028878802,2.576915005775761,37.94132910780538,11.366188433765675
17,2,5,2.108e-10,1.604e-10,1.676e-10,2.53e-10,4.406e-11,39018.578104418426,1.2559575028878802,2.576915005775761,37.41945402110418,11.820350906902977
18,2,5,2.298e-10,1.582e-10,1.868e-10,2.789e-10,4.563e-11,43321.087322947336,1.5082318657594311,2.576915005775761,38.086594324254385,12.338812431987572
20,2,5,2.798e-10,1.902e-10,2.272e-10,3.258e-10,4.122e-11,50770.74791812004,1.2559575028878802,2.576915005775761,40.4080542346171,11.116139465112223
21,2,5,2.867e-10,1.826e-10,2.358e-10,3.398e-10,4.816e-11,53328.84188277842,1.5082318657594311,2.576915005775761,39.575209434983506,11.943172018491277
25,2,5,3.136e-10,2.111e-10,5.398e-10,6.434e-10,4.287e-11,61530.92508734235,1.2559575028878802,2.576915005775761,40.969208585161574,10.179647783133507
22,2,5,3.083e-10,1.923e-10,2.693e-10,3.826e-10,4.641e-11,58725.71257854108,1.5082318657594311,2.7720000000000002,39.774832878854035,12.116342071172923
23,2,5,3.14e-10,2.152e-10,2.762e-10,3.852e-10,4.041e-11,60488.47401270453,1.2559575028878802,2.576915005775761,42.93273,11.124399556858394
28,2,5,3.58e-10,2.366e-10,4.702e-10,5.516e-10,4.182e-11,71763.27728738892,1.2559575028878802,2.7720000000000002,43.10234192385757,10.33981686942064
24,2,5,2.991e-10,2.052e-10,5.507e-10,6.497e-10,5.291e-11,59401.542519451104,1.2559575028878802,2.576915005775761,39.76811296137468,10.201428733794568
26,2,5,3.181e-10,2.161e-10,5.103e-10,5.785e-10,5.249e-11,62510.638919952595,1.2559575028878802,2.576915005775761,40.70459422632024,10.109644264908857
27,2,5,3.437e-10,2.303e-10,4.723e-10,5.612e-10,5.311e-11,68137.92984204229,1.2559575028878802,2.576915005775761,43.01219724605986,10.244859519282864
29,2,5,4.398e-10,2.672e-10,5.149e-10,6.78e-10,5.441e-11,85908.83369183453,1.5082318657594311,2.7720000000000002,46.14622409709609,13.42777533761766
30,2,5,4.619e-10,2.757e-10,5.288e-10,6.952e-10,5.513e-11,88910.89182620219,1.5082318657594311,2.7720000000000002,45.06148,13.42777533761766
